平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1308158,124668,114527,116072,105264,103261,95443,99203,103353,100240,109608,113856,122663
,男　Ｍ．,674946,64859,59092,60064,54350,53229,49445,51362,53454,51367,56395,58340,62989
,女　Ｆ．,633212,59809,55435,56008,50914,50032,45998,47841,49899,48873,53213,55516,59674
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25107,2374,2200,2284,2021,1978,1900,1885,1917,1951,2071,2138,2388
,男　Ｍ．,12135,1156,1065,1125,963,931,921,912,922,947,1022,1007,1164
,女　Ｆ．,12972,1218,1135,1159,1058,1047,979,973,995,1004,1049,1131,1224
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2551,273,249,259,201,202,171,158,184,185,187,206,276
,男　Ｍ．,1135,112,118,119,95,73,79,71,86,81,84,90,127
,女　Ｆ．,1416,161,131,140,106,129,92,87,98,104,103,116,149
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1893,183,145,158,136,150,152,161,139,175,180,147,167
,男　Ｍ．,1134,105,94,93,73,93,91,114,85,99,103,79,105
,女　Ｆ．,759,78,51,65,63,57,61,47,54,76,77,68,62
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1663,162,136,132,121,131,131,146,124,149,156,125,150
,男　Ｍ．,1035,97,89,84,68,83,85,105,80,84,92,67,101
,女　Ｆ．,628,65,47,48,53,48,46,41,44,65,64,58,49
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,230,21,9,26,15,19,21,15,15,26,24,22,17
,男　Ｍ．,99,8,5,9,5,10,6,9,5,15,11,12,4
,女　Ｆ．,131,13,4,17,10,9,15,6,10,11,13,10,13
