平成29年,人口動態統計,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
注：死因簡単分類は、「ICD-10（2013年版）」（平成29年適用）によるものである。分類表「死因簡単分類の新旧比較（平成29年、28年）」を参照されたい。
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1340567,134174,116534,120019,108422,106278,97844,102387,103617,100893,110422,115170,124807
,男　Ｍ．,690770,69056,59855,61767,55964,54875,50441,52898,53601,51849,57047,59321,64096
,女　Ｆ．,649797,65118,56679,58252,52458,51403,47403,49489,50016,49044,53375,55849,60711
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24760,2448,2106,2221,2039,2073,1876,1966,1927,1949,1978,2010,2167
,男　Ｍ．,12021,1217,974,1096,976,1006,911,950,931,954,994,979,1033
,女　Ｆ．,12739,1231,1132,1125,1063,1067,965,1016,996,995,984,1031,1134
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2358,282,190,246,185,172,176,169,187,163,174,199,215
,男　Ｍ．,1012,128,82,105,72,75,68,73,87,61,80,92,89
,女　Ｆ．,1346,154,108,141,113,97,108,96,100,102,94,107,126
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2306,233,177,207,181,203,189,186,197,180,203,176,174
,男　Ｍ．,1423,129,103,120,111,125,113,124,118,109,136,118,117
,女　Ｆ．,883,104,74,87,70,78,76,62,79,71,67,58,57
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2002,209,152,171,159,172,168,156,169,156,185,154,151
,男　Ｍ．,1294,119,95,104,103,112,108,111,109,98,124,106,105
,女　Ｆ．,708,90,57,67,56,60,60,45,60,58,61,48,46
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,304,24,25,36,22,31,21,30,28,24,18,22,23
,男　Ｍ．,129,10,8,16,8,13,5,13,9,11,12,12,12
,女　Ｆ．,175,14,17,20,14,18,16,17,19,13,6,10,11
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10213,951,888,892,832,843,763,818,790,813,832,863,928
,男　Ｍ．,4854,468,392,443,385,384,359,375,380,408,408,423,429
,女　Ｆ．,5359,483,496,449,447,459,404,443,410,405,424,440,499
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3743,394,358,369,344,333,322,270,259,266,267,245,316
,男　Ｍ．,1718,187,163,174,161,155,149,111,117,120,129,109,143
,女　Ｆ．,2025,207,195,195,183,178,173,159,142,146,138,136,173
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,419,40,39,37,45,36,33,27,38,36,29,28,31
,男　Ｍ．,267,25,24,24,30,24,19,18,23,21,19,18,22
,女　Ｆ．,152,15,15,13,15,12,14,9,15,15,10,10,9
