平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1362470,137773,122855,120575,108977,106196,98406,106782,105948,104679,112320,114473,123486
,男　Ｍ．,699138,71272,63292,62078,55699,54437,50127,54860,54360,53807,57388,58542,63276
,女　Ｆ．,663332,66501,59563,58497,53278,51759,48279,51922,51588,50872,54932,55931,60210
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24127,2475,2063,2198,1981,1874,1743,1878,1886,1841,1999,2019,2170
,男　Ｍ．,11733,1235,997,1096,1007,905,811,895,914,844,947,1014,1068
,女　Ｆ．,12394,1240,1066,1102,974,969,932,983,972,997,1052,1005,1102
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2363,273,221,218,182,196,177,186,144,182,159,196,229
,男　Ｍ．,1039,124,97,96,89,80,71,78,67,80,67,92,98
,女　Ｆ．,1324,149,124,122,93,116,106,108,77,102,92,104,131
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2204,234,170,187,170,155,161,173,210,174,189,179,202
,男　Ｍ．,1302,136,107,127,92,102,90,104,121,97,93,115,118
,女　Ｆ．,902,98,63,60,78,53,71,69,89,77,96,64,84
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1939,204,146,165,160,140,138,156,175,153,167,158,177
,男　Ｍ．,1185,125,95,113,88,95,78,98,108,87,85,105,108
,女　Ｆ．,754,79,51,52,72,45,60,58,67,66,82,53,69
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,265,30,24,22,10,15,23,17,35,21,22,21,25
,男　Ｍ．,117,11,12,14,4,7,12,6,13,10,8,10,10
,女　Ｆ．,148,19,12,8,6,8,11,11,22,11,14,11,15
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10312,1053,930,955,893,781,731,769,802,787,880,838,893
,男　Ｍ．,5006,524,446,437,456,371,342,367,386,364,441,419,453
,女　Ｆ．,5306,529,484,518,437,410,389,402,416,423,439,419,440
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3055,313,278,309,263,260,225,242,232,194,226,238,275
,男　Ｍ．,1369,141,123,150,128,119,102,109,102,85,90,106,114
,女　Ｆ．,1686,172,155,159,135,141,123,133,130,109,136,132,161
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,368,30,42,34,37,30,29,35,28,15,32,25,31
,男　Ｍ．,244,20,26,24,27,21,17,25,19,8,23,17,17
,女　Ｆ．,124,10,16,10,10,9,12,10,9,7,9,8,14
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2473,263,221,256,209,212,180,187,188,162,180,192,223
,男　Ｍ．,1010,106,86,117,91,90,78,74,73,67,63,76,89
,女　Ｆ．,1463,157,135,139,118,122,102,113,115,95,117,116,134
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,214,20,15,19,17,18,16,20,16,17,14,21,21
,男　Ｍ．,115,15,11,9,10,8,7,10,10,10,4,13,8
,女　Ｆ．,99,5,4,10,7,10,9,10,6,7,10,8,13
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,43,5,5,1,4,2,3,5,6,2,4,3,3
,男　Ｍ．,36,5,5,1,2,2,2,5,5,2,3,1,3
,女　Ｆ．,7,-,-,-,2,-,1,-,1,-,1,2,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,6150,597,459,528,469,480,446,503,492,502,541,565,568
,男　Ｍ．,2981,305,219,285,240,231,204,232,233,216,253,281,282
,女　Ｆ．,3169,292,240,243,229,249,242,271,259,286,288,284,286
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,386680,33791,30306,32462,31249,31718,30546,32076,32817,32647,33403,32450,33215
,男　Ｍ．,225536,19846,17794,18897,18159,18504,17714,18693,19085,19066,19400,18915,19463
,女　Ｆ．,161144,13945,12512,13565,13090,13214,12832,13383,13732,13581,14003,13535,13752
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,373584,32608,29225,31373,30233,30698,29564,31054,31723,31493,32241,31333,32039
,男　Ｍ．,218625,19232,17225,18310,17637,17998,17187,18173,18507,18424,18765,18325,18842
,女　Ｆ．,154959,13376,12000,13063,12596,12700,12377,12881,13216,13069,13476,13008,13197
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,7576,647,538,668,621,597,607,628,680,623,631,631,705
,男　Ｍ．,5398,479,376,480,443,393,430,455,482,443,464,448,505
,女　Ｆ．,2178,168,162,188,178,204,177,173,198,180,167,183,200
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,11345,994,866,936,956,881,915,992,958,970,977,933,967
,男　Ｍ．,9358,815,721,782,795,736,748,818,794,800,796,746,807
,女　Ｆ．,1987,179,145,154,161,145,167,174,164,170,181,187,160
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,44192,3926,3459,3742,3578,3626,3525,3664,3776,3669,3805,3678,3744
,男　Ｍ．,28843,2604,2264,2420,2353,2368,2244,2391,2460,2385,2483,2446,2425
,女　Ｆ．,15349,1322,1195,1322,1225,1258,1281,1273,1316,1284,1322,1232,1319
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,35414,3107,2749,2844,2794,3031,2780,2959,3041,2980,3118,3012,2999
,男　Ｍ．,17467,1535,1412,1342,1389,1522,1344,1480,1521,1456,1496,1492,1478
,女　Ｆ．,17947,1572,1337,1502,1405,1509,1436,1479,1520,1524,1622,1520,1521
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15244,1334,1252,1257,1253,1241,1166,1333,1320,1261,1335,1214,1278
,男　Ｍ．,9631,866,752,790,808,780,708,840,825,816,874,766,806
,女　Ｆ．,5613,468,500,467,445,461,458,493,495,445,461,448,472
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,25925,2273,2159,2278,2088,2139,2035,2156,2141,2098,2177,2131,2250
,男　Ｍ．,17032,1491,1420,1495,1349,1396,1357,1420,1391,1372,1431,1418,1492
,女　Ｆ．,8893,782,739,783,739,743,678,736,750,726,746,713,758
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,18237,1561,1410,1575,1394,1495,1482,1480,1568,1566,1631,1527,1548
