令和元年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1381093,140223,117312,118335,112790,110055,101290,105858,110466,106732,113147,118152,126733
,男　Ｍ．,707421,72272,59990,60801,57591,56548,51838,54190,56864,54625,57782,60027,64893
,女　Ｆ．,673672,67951,57322,57534,55199,53507,49452,51668,53602,52107,55365,58125,61840
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,23544,2514,1991,1988,1891,1915,1729,1779,1832,1882,1938,2003,2082
,男　Ｍ．,11531,1213,989,964,940,926,851,865,885,893,962,988,1055
,女　Ｆ．,12013,1301,1002,1024,951,989,878,914,947,989,976,1015,1027
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2267,275,202,184,194,194,148,170,172,170,165,185,208
,男　Ｍ．,1009,127,77,89,90,90,71,70,82,54,72,85,102
,女　Ｆ．,1258,148,125,95,104,104,77,100,90,116,93,100,106
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2087,220,150,188,177,159,160,161,172,163,174,195,168
,男　Ｍ．,1173,125,95,106,101,81,96,87,94,87,96,111,94
,女　Ｆ．,914,95,55,82,76,78,64,74,78,76,78,84,74
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1801,188,134,159,151,133,146,133,145,139,160,166,147
,男　Ｍ．,1055,111,84,93,90,74,91,80,81,79,92,97,83
,女　Ｆ．,746,77,50,66,61,59,55,53,64,60,68,69,64
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,286,32,16,29,26,26,14,28,27,24,14,29,21
,男　Ｍ．,118,14,11,13,11,7,5,7,13,8,4,14,11
,女　Ｆ．,168,18,5,16,15,19,9,21,14,16,10,15,10
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,10217,1074,869,845,797,838,740,763,780,811,859,908,933
,男　Ｍ．,5076,535,461,394,396,403,367,377,386,416,422,447,472
,女　Ｆ．,5141,539,408,451,401,435,373,386,394,395,437,461,461
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2657,297,259,253,230,215,205,200,184,187,222,179,226
,男　Ｍ．,1224,139,122,111,111,96,95,92,75,78,107,84,114
,女　Ｆ．,1433,158,137,142,119,119,110,108,109,109,115,95,112
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,336,30,29,29,39,19,29,28,17,15,33,26,42
,男　Ｍ．,208,17,16,16,30,10,16,19,8,9,23,17,27
,女　Ｆ．,128,13,13,13,9,9,13,9,9,6,10,9,15
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2122,243,205,200,177,180,157,158,152,159,174,143,174
,男　Ｍ．,914,107,90,84,74,78,71,69,59,64,73,62,83
,女　Ｆ．,1208,136,115,116,103,102,86,89,93,95,101,81,91
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,199,24,25,24,14,16,19,14,15,13,15,10,10
,男　Ｍ．,102,15,16,11,7,8,8,4,8,5,11,5,4
,女　Ｆ．,97,9,9,13,7,8,11,10,7,8,4,5,6
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,41,3,3,5,-,3,3,4,3,5,3,5,4
,男　Ｍ．,40,3,3,5,-,2,3,4,3,5,3,5,4
,女　Ｆ．,1,-,-,-,-,1,-,-,-,-,-,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,6275,645,508,513,493,506,473,481,521,546,515,531,543
,男　Ｍ．,3009,284,231,259,242,254,219,235,245,253,262,256,269
,女　Ｆ．,3266,361,277,254,251,252,254,246,276,293,253,275,274
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,389867,33836,30346,32627,31641,32196,31244,32362,32827,32435,33721,32607,34025
,男　Ｍ．,227545,19837,17757,19088,18376,18853,18149,18809,19118,18935,19667,18961,19995
,女　Ｆ．,162322,13999,12589,13539,13265,13343,13095,13553,13709,13500,14054,13646,14030
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,376425,32595,29310,31495,30555,31098,30170,31281,31738,31405,32546,31426,32806
,男　Ｍ．,220339,19155,17220,18464,17797,18240,17590,18228,18512,18414,19072,18317,19330
,女　Ｆ．,156086,13440,12090,13031,12758,12858,12580,13053,13226,12991,13474,13109,13476
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,7764,659,572,672,636,650,620,633,640,676,637,660,709
,男　Ｍ．,5504,464,391,480,444,457,422,463,459,476,458,477,513
,女　Ｆ．,2260,195,181,192,192,193,198,170,181,200,179,183,196
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,11619,1092,920,963,948,938,859,1014,958,964,1009,952,1002
,男　Ｍ．,9571,918,767,781,785,757,715,841,774,793,834,792,814
,女　Ｆ．,2048,174,153,182,163,181,144,173,184,171,175,160,188
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,42931,3738,3336,3585,3584,3475,3507,3548,3725,3524,3656,3560,3693
,男　Ｍ．,28043,2432,2208,2325,2320,2280,2262,2339,2389,2304,2416,2307,2461
,女　Ｆ．,14888,1306,1128,1260,1264,1195,1245,1209,1336,1220,1240,1253,1232
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,35599,2959,2785,2951,2881,2960,2841,2996,2993,3071,3048,3004,3110
,男　Ｍ．,17517,1464,1381,1423,1398,1456,1386,1487,1423,1526,1487,1503,1583
,女　Ｆ．,18082,1495,1404,1528,1483,1504,1455,1509,1570,1545,1561,1501,1527
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15821,1368,1257,1346,1269,1272,1272,1356,1363,1317,1363,1273,1365
,男　Ｍ．,9899,849,830,846,810,793,775,845,860,816,821,773,881
,女　Ｆ．,5922,519,427,500,459,479,497,511,503,501,542,500,484
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,25264,2165,2005,2137,2080,2185,2065,2130,2051,2068,2175,2111,2092
,男　Ｍ．,16750,1424,1342,1402,1338,1447,1364,1419,1352,1401,1479,1400,1382
,女　Ｆ．,8514,741,663,735,742,738,701,711,699,667,696,711,710
