令和２年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1372755,131091,116139,118020,112869,106992,99326,104126,111141,106345,116951,117607,132148
,男　Ｍ．,706834,67819,59855,60721,58276,55041,51083,53448,57803,54794,60077,60128,67789
,女　Ｆ．,665921,63272,56284,57299,54593,51951,48243,50678,53338,51551,56874,57479,64359
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,22129,2167,2004,1973,1864,1672,1631,1665,1750,1748,1817,1830,2008
,男　Ｍ．,10905,1088,1000,962,929,836,764,820,845,895,863,913,990
,女　Ｆ．,11224,1079,1004,1011,935,836,867,845,905,853,954,917,1018
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2153,265,214,214,197,158,157,154,163,155,158,136,182
,男　Ｍ．,995,122,105,98,91,67,73,64,82,81,65,66,81
,女　Ｆ．,1158,143,109,116,106,91,84,90,81,74,93,70,101
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1909,162,169,162,173,158,158,135,132,151,185,142,182
,男　Ｍ．,1093,87,96,86,109,87,87,79,71,90,103,90,108
,女　Ｆ．,816,75,73,76,64,71,71,56,61,61,82,52,74
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1664,142,142,147,156,132,144,116,116,133,162,123,151
,男　Ｍ．,987,83,83,81,104,75,79,69,66,84,92,80,91
,女　Ｆ．,677,59,59,66,52,57,65,47,50,49,70,43,60
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,245,20,27,15,17,26,14,19,16,18,23,19,31
,男　Ｍ．,106,4,13,5,5,12,8,10,5,6,11,10,17
,女　Ｆ．,139,16,14,10,12,14,6,9,11,12,12,9,14
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9801,996,891,870,796,713,668,744,794,768,792,844,925
,男　Ｍ．,4902,511,444,423,413,369,323,372,378,406,379,427,457
,女　Ｆ．,4899,485,447,447,383,344,345,372,416,362,413,417,468
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2201,213,203,212,212,174,175,162,169,167,174,149,191
,男　Ｍ．,1028,102,112,103,94,81,82,78,67,78,71,72,88
,女　Ｆ．,1173,111,91,109,118,93,93,84,102,89,103,77,103
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,353,31,26,29,35,26,25,23,33,31,31,20,43
,男　Ｍ．,208,17,21,15,25,19,15,14,14,18,15,9,26
,女　Ｆ．,145,14,5,14,10,7,10,9,19,13,16,11,17
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1686,169,162,170,162,134,136,115,128,122,133,115,140
,男　Ｍ．,729,76,80,80,62,54,57,52,50,54,54,52,58
,女　Ｆ．,957,93,82,90,100,80,79,63,78,68,79,63,82
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,162,13,15,13,15,14,14,24,8,14,10,14,8
,男　Ｍ．,91,9,11,8,7,8,10,12,3,6,2,11,4
,女　Ｆ．,71,4,4,5,8,6,4,12,5,8,8,3,4
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,49,4,5,3,7,2,3,6,6,2,1,6,4
,男　Ｍ．,44,4,4,3,7,2,2,4,6,2,1,5,4
,女　Ｆ．,5,-,1,-,-,-,1,2,-,-,-,1,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,6016,527,522,512,479,467,470,464,486,505,507,553,524
,男　Ｍ．,2843,262,239,249,215,230,197,223,241,238,244,253,252
,女　Ｆ．,3173,265,283,263,264,237,273,241,245,267,263,300,272
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,391545,33421,30915,32890,31994,31897,31223,32704,32992,32597,34133,32670,34109
,男　Ｍ．,228047,19590,17959,19106,18611,18653,18199,18961,19101,19075,19948,18893,19951
,女　Ｆ．,163498,13831,12956,13784,13383,13244,13024,13743,13891,13522,14185,13777,14158
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,378385,32308,29904,31830,30841,30792,30252,31628,31887,31471,33003,31529,32940
,男　Ｍ．,220989,18980,17417,18551,17998,18067,17679,18369,18521,18440,19335,18288,19344
,女　Ｆ．,157396,13328,12487,13279,12843,12725,12573,13259,13366,13031,13668,13241,13596
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,7827,631,636,665,656,669,614,659,617,633,658,663,726
,男　Ｍ．,5547,438,454,480,466,457,418,476,428,449,468,488,525
,女　Ｆ．,2280,193,182,185,190,212,196,183,189,184,190,175,201
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,10981,990,907,928,956,900,859,909,924,839,947,898,924
,男　Ｍ．,8978,809,751,749,789,744,705,760,737,665,797,713,759
,女　Ｆ．,2003,181,156,179,167,156,154,149,187,174,150,185,165
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,42319,3704,3301,3515,3402,3405,3360,3590,3459,3562,3758,3541,3722
,男　Ｍ．,27771,2456,2159,2251,2173,2259,2236,2349,2264,2377,2467,2308,2472
,女　Ｆ．,14548,1248,1142,1264,1229,1146,1124,1241,1195,1185,1291,1233,1250
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,36204,3093,2882,3173,2857,2867,2818,3107,3080,3070,3158,2896,3203
,男　Ｍ．,17965,1564,1395,1619,1413,1418,1423,1517,1548,1506,1591,1401,1570
,女　Ｆ．,18239,1529,1487,1554,1444,1449,1395,1590,1532,1564,1567,1495,1633
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15584,1335,1242,1361,1272,1216,1239,1217,1316,1343,1400,1346,1297
,男　Ｍ．,9753,860,744,855,777,794,771,758,820,854,900,810,810
,女　Ｆ．,5831,475,498,506,495,422,468,459,496,489,500,536,487
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,24839,2176,1939,2018,2023,1995,2010,2046,2071,2111,2200,2068,2182
,男　Ｍ．,16271,1405,1312,1302,1326,1302,1311,1357,1339,1350,1457,1367,1443
,女　Ｆ．,8568,771,627,716,697,693,699,689,732,761,743,701,739
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,17773,1513,1418,1532,1501,1432,1449,1487,1422,1488,1570,1481,1480
,男　Ｍ．,9357,791,712,788,776,774,753,785,726,785,858,807,802
,女　Ｆ．,8416,722,706,744,725,658,696,702,696,703,712,674,678
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,37677,3076,3014,3183,3037,3035,3006,3186,3275,3129,3267,3170,3299
,男　Ｍ．,18880,1546,1504,1581,1549,1563,1511,1599,1655,1597,1580,1542,1653
,女　Ｆ．,18797,1530,1510,1602,1488,1472,1495,1587,1620,1532,1687,1628,1646
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,781,69,54,68,66,51,52,69,70,65,89,68,60
,男　Ｍ．,712,63,50,65,59,43,50,64,67,57,83,59,52
,女　Ｆ．,69,6,4,3,7,8,2,5,3,8,6,9,8
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,75585,6454,5901,6349,6190,6275,6029,6273,6481,6285,6492,6350,6506
,男　Ｍ．,53247,4633,4181,4452,4338,4430,4221,4420,4533,4441,4526,4432,4640
,女　Ｆ．,22338,1821,1720,1897,1852,1845,1808,1853,1948,1844,1966,1918,1866
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1707,135,130,135,139,144,134,151,146,157,140,153,143
,男　Ｍ．,875,69,76,77,69,74,68,81,79,79,67,71,65
,女　Ｆ．,832,66,54,58,70,70,66,70,67,78,73,82,78
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,14779,1329,1189,1210,1195,1177,1227,1244,1254,1177,1284,1238,1255
,男　Ｍ．,129,14,8,12,11,10,8,8,8,13,6,17,14
,女　Ｆ．,14650,1315,1181,1198,1184,1167,1219,1236,1246,1164,1278,1221,1241
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,6808,593,507,558,539,566,550,592,596,538,570,571,628
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,6808,593,507,558,539,566,550,592,596,538,570,571,628
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,4876,411,376,411,381,400,402,417,437,414,393,409,425
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,4876,411,376,411,381,400,402,417,437,414,393,409,425
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,12759,1068,1016,1082,1065,1054,995,1033,1057,1046,1151,1090,1102
,男　Ｍ．,12759,1068,1016,1082,1065,1054,995,1033,1057,1046,1151,1090,1102
,女　Ｆ．,・,・,・,・,・,・,・,・,・,・,・,・,・
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,9168,767,737,746,743,743,724,724,765,761,836,773,849
,男　Ｍ．,6244,521,515,494,534,496,502,498,521,493,571,514,585
,女　Ｆ．,2924,246,222,252,209,247,222,226,244,268,265,259,264
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,2851,270,226,208,210,218,204,247,229,255,262,260,262
,男　Ｍ．,1600,152,124,119,122,114,118,131,133,149,150,156,132
,女　Ｆ．,1251,118,102,89,88,104,86,116,96,106,112,104,130
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,13998,1147,1100,1154,1195,1185,1161,1183,1222,1189,1192,1109,1161
,男　Ｍ．,7690,627,580,646,630,639,668,644,666,680,658,614,638
,女　Ｆ．,6308,520,520,508,565,546,493,539,556,509,534,495,523
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8983,731,672,735,735,759,737,767,762,759,795,757,774
,男　Ｍ．,5467,448,420,451,420,439,459,447,458,484,483,474,484
