令和３年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1439856,139899,118129,122189,117260,117291,107617,111623,116888,114373,120067,121510,133010
,男　Ｍ．,738141,72464,60739,62495,59802,60169,55116,57489,60492,58722,61419,61594,67640
,女　Ｆ．,701715,67435,57390,59694,57458,57122,52501,54134,56396,55651,58648,59916,65370
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,22160,2078,1868,1929,1771,1763,1658,1747,1752,1813,1893,1877,2011
,男　Ｍ．,10889,1031,917,938,857,892,848,859,854,886,927,881,999
,女　Ｆ．,11271,1047,951,991,914,871,810,888,898,927,966,996,1012
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1949,208,180,190,151,135,139,143,150,186,119,173,175
,男　Ｍ．,900,101,76,88,61,58,70,72,69,86,51,82,86
,女　Ｆ．,1049,107,104,102,90,77,69,71,81,100,68,91,89
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1845,180,165,159,166,162,135,142,121,154,141,182,138
,男　Ｍ．,1050,92,100,93,95,96,77,81,70,86,87,91,82
,女　Ｆ．,795,88,65,66,71,66,58,61,51,68,54,91,56
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1570,154,148,141,140,136,118,124,98,127,120,150,114
,男　Ｍ．,941,82,91,85,88,87,73,78,57,75,79,77,69
,女　Ｆ．,629,72,57,56,52,49,45,46,41,52,41,73,45
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,275,26,17,18,26,26,17,18,23,27,21,32,24
,男　Ｍ．,109,10,9,8,7,9,4,3,13,11,8,14,13
,女　Ｆ．,166,16,8,10,19,17,13,15,10,16,13,18,11
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9989,930,816,875,802,790,730,782,796,812,914,794,948
,男　Ｍ．,5000,473,406,424,390,421,370,399,392,392,459,394,480
,女　Ｆ．,4989,457,410,451,412,369,360,383,404,420,455,400,468
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1943,208,169,191,139,152,140,153,158,156,152,161,164
,男　Ｍ．,854,98,82,84,66,67,68,53,72,67,64,64,69
,女　Ｆ．,1089,110,87,107,73,85,72,100,86,89,88,97,95
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,337,45,26,35,26,19,24,31,27,32,23,17,32
,男　Ｍ．,197,32,17,21,13,9,14,19,18,16,10,11,17
,女　Ｆ．,140,13,9,14,13,10,10,12,9,16,13,6,15
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1435,150,135,141,95,125,102,106,116,112,114,133,106
,男　Ｍ．,578,60,62,54,42,53,43,30,48,47,49,50,40
,女　Ｆ．,857,90,73,87,53,72,59,76,68,65,65,83,66
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,171,13,8,15,18,8,14,16,15,12,15,11,26
,男　Ｍ．,79,6,3,9,11,5,11,4,6,4,5,3,12
,女　Ｆ．,92,7,5,6,7,3,3,12,9,8,10,8,14
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,47,4,8,3,4,6,1,3,5,3,7,2,1
,男　Ｍ．,47,4,8,3,4,6,1,3,5,3,7,2,1
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,6387,548,530,511,509,518,513,524,522,502,560,565,585
,男　Ｍ．,3038,263,245,246,241,244,262,251,246,252,259,248,281
,女　Ｆ．,3349,285,285,265,268,274,251,273,276,250,301,317,304
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,394988,34016,30081,32945,32301,32558,31477,33019,33901,33144,34169,32974,34403
,男　Ｍ．,229772,19915,17435,19069,18760,18955,18161,19308,19722,19358,19949,19158,19982
,女　Ｆ．,165216,14101,12646,13876,13541,13603,13316,13711,14179,13786,14220,13816,14421
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,381505,32799,28994,31834,31194,31473,30412,31971,32732,32044,33060,31784,33208
,男　Ｍ．,222467,19256,16838,18441,18149,18384,17588,18730,19075,18787,19360,18513,19346
,女　Ｆ．,159038,13543,12156,13393,13045,13089,12824,13241,13657,13257,13700,13271,13862
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,8001,650,622,700,623,653,619,666,730,682,714,653,689
,男　Ｍ．,5634,464,429,484,437,452,429,466,497,456,527,482,511
,女　Ｆ．,2367,186,193,216,186,201,190,200,233,226,187,171,178
