令和４年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1569050,143288,137763,137983,120736,119992,111054,116960,134527,125463,130537,132975,157772
,男　Ｍ．,799420,73943,70875,70761,61313,61034,56779,59825,68778,63455,65923,66923,79811
,女　Ｆ．,769630,69345,66888,67222,59423,58958,54275,57135,65749,62008,64614,66052,77961
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,23726,2191,1910,2079,1909,1809,1710,1845,1916,1966,2064,2046,2281
,男　Ｍ．,11714,1107,909,1045,953,885,837,896,957,955,1023,1033,1114
,女　Ｆ．,12012,1084,1001,1034,956,924,873,949,959,1011,1041,1013,1167
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2037,186,163,166,161,157,146,155,184,156,168,164,231
,男　Ｍ．,938,89,67,81,78,77,64,67,90,77,72,69,107
,女　Ｆ．,1099,97,96,85,83,80,82,88,94,79,96,95,124
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1664,159,141,149,136,128,122,128,123,137,170,142,129
,男　Ｍ．,991,91,94,86,81,77,75,71,67,76,108,85,80
,女　Ｆ．,673,68,47,63,55,51,47,57,56,61,62,57,49
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1423,143,116,130,115,106,105,104,107,118,137,132,110
,男　Ｍ．,881,84,80,82,70,68,64,62,58,67,90,83,73
,女　Ｆ．,542,59,36,48,45,38,41,42,49,51,47,49,37
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,241,16,25,19,21,22,17,24,16,19,33,10,19
,男　Ｍ．,110,7,14,4,11,9,11,9,9,9,18,2,7
,女　Ｆ．,131,9,11,15,10,13,6,15,7,10,15,8,12
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11346,1070,905,1016,956,833,791,868,904,949,969,958,1127
,男　Ｍ．,5748,542,442,515,502,405,382,440,455,468,493,517,587
,女　Ｆ．,5598,528,463,501,454,428,409,428,449,481,476,441,540
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1799,180,175,188,135,152,126,155,128,121,118,156,165
,男　Ｍ．,832,92,81,80,56,78,66,74,57,58,58,65,67
,女　Ｆ．,967,88,94,108,79,74,60,81,71,63,60,91,98
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,353,32,27,45,29,37,35,30,22,30,21,24,21
,男　Ｍ．,212,19,16,26,19,25,21,19,14,18,7,14,14
,女　Ｆ．,141,13,11,19,10,12,14,11,8,12,14,10,7
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1267,137,126,132,92,101,75,115,91,76,81,116,125
,男　Ｍ．,535,67,54,50,32,46,36,52,38,32,41,44,43
,女　Ｆ．,732,70,72,82,60,55,39,63,53,44,40,72,82
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,179,11,22,11,14,14,16,10,15,15,16,16,19
,男　Ｍ．,85,6,11,4,5,7,9,3,5,8,10,7,10
,女　Ｆ．,94,5,11,7,9,7,7,7,10,7,6,9,9
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,53,2,4,4,6,4,3,5,4,7,5,4,5
,男　Ｍ．,51,2,4,4,6,4,3,5,3,7,5,4,4
,女　Ｆ．,2,-,-,-,-,-,-,-,1,-,-,-,1
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,6827,594,522,556,515,535,522,534,573,596,634,622,624
,男　Ｍ．,3154,291,221,279,230,244,247,239,285,269,287,293,269
,女　Ｆ．,3673,303,301,277,285,291,275,295,288,327,347,329,355
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,399471,34249,31152,33673,31829,33232,32094,33173,34012,33148,34339,33404,35166
,男　Ｍ．,230600,19868,18066,19635,18236,19187,18614,19053,19447,19079,19953,19032,20430
,女　Ｆ．,168871,14381,13086,14038,13593,14045,13480,14120,14565,14069,14386,14372,14736
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,385797,33002,29985,32528,30760,32109,31096,32089,32902,31993,33162,32223,33948
,男　Ｍ．,223291,19188,17424,19027,17681,18598,18062,18451,18876,18472,19296,18425,19791
,女　Ｆ．,162506,13814,12561,13501,13079,13511,13034,13638,14026,13521,13866,13798,14157
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,8429,728,625,684,670,634,692,743,725,673,754,747,754
,男　Ｍ．,5960,513,430,472,449,467,500,506,510,487,555,520,551
,女　Ｆ．,2469,215,195,212,221,167,192,237,215,186,199,227,203
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,10918,986,828,932,814,875,854,929,949,911,924,940,976
,男　Ｍ．,8790,780,662,768,654,711,677,749,775,740,753,740,781
,女　Ｆ．,2128,206,166,164,160,164,177,180,174,171,171,200,195
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,40711,3470,3216,3455,3261,3352,3320,3309,3492,3290,3577,3416,3553
,男　Ｍ．,26455,2247,2092,2247,2107,2187,2158,2105,2294,2176,2357,2174,2311
,女　Ｆ．,14256,1223,1124,1208,1154,1165,1162,1204,1198,1114,1220,1242,1242
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,37236,3132,2878,3108,2973,3123,2976,3073,3208,3116,3189,3161,3299
,男　Ｍ．,18215,1572,1430,1600,1442,1558,1439,1460,1568,1461,1566,1520,1599
,女　Ｆ．,19021,1560,1448,1508,1531,1565,1537,1613,1640,1655,1623,1641,1700
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15852,1376,1212,1312,1185,1328,1314,1300,1383,1331,1370,1300,1441
,男　Ｍ．,9884,866,761,804,742,844,809,803,851,846,836,815,907
,女　Ｆ．,5968,510,451,508,443,484,505,497,532,485,534,485,534
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,23620,2080,1839,2104,1869,1985,1854,1978,1948,1914,2081,1942,2026
,男　Ｍ．,15717,1361,1224,1406,1248,1287,1267,1310,1245,1303,1395,1299,1372
,女　Ｆ．,7903,719,615,698,621,698,587,668,703,611,686,643,654
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,17756,1518,1449,1506,1468,1442,1418,1511,1541,1453,1536,1437,1477
,男　Ｍ．,9470,808,737,789,754,771,763,830,843,789,816,765,805
,女　Ｆ．,8286,710,712,717,714,671,655,681,698,664,720,672,672
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,39468,3363,3011,3193,3294,3268,3219,3312,3371,3224,3336,3365,3512
,男　Ｍ．,19608,1703,1513,1558,1629,1628,1632,1647,1661,1592,1670,1646,1729
,女　Ｆ．,19860,1660,1498,1635,1665,1640,1587,1665,1710,1632,1666,1719,1783
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,798,75,70,77,71,62,56,51,61,63,65,68,79
,男　Ｍ．,723,66,62,73,66,60,53,44,55,60,58,60,66
,女　Ｆ．,75,9,8,4,5,2,3,7,6,3,7,8,13
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,76663,6571,6020,6472,6206,6544,6223,6323,6463,6306,6447,6351,6737
,男　Ｍ．,53750,4640,4222,4565,4339,4609,4377,4419,4500,4401,4543,4421,4714
,女　Ｆ．,22913,1931,1798,1907,1867,1935,1846,1904,1963,1905,1904,1930,2023
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1806,146,134,149,143,159,146,134,167,147,170,141,170
,男　Ｍ．,893,72,70,72,69,78,78,72,91,63,76,65,87
,女　Ｆ．,913,74,64,77,74,81,68,62,76,84,94,76,83
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,16021,1342,1192,1340,1229,1358,1296,1353,1390,1322,1396,1392,1411
,男　Ｍ．,109,10,12,7,9,9,11,5,7,10,13,8,8
,女　Ｆ．,15912,1332,1180,1333,1220,1349,1285,1348,1383,1312,1383,1384,1403
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,7157,616,578,557,563,604,574,565,652,604,630,572,642
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,7157,616,578,557,563,604,574,565,652,604,630,572,642
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,5182,428,401,396,442,424,431,454,451,461,456,436,402
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,5182,428,401,396,442,424,431,454,451,461,456,436,402
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,13439,1177,1047,1179,1017,1115,1075,1149,1077,1127,1161,1062,1253
,男　Ｍ．,13439,1177,1047,1179,1017,1115,1075,1149,1077,1127,1161,1062,1253
,女　Ｆ．,・,・,・,・,・,・,・,・,・,・,・,・,・
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,9598,806,788,798,753,797,748,796,831,775,848,782,876
,男　Ｍ．,6388,509,538,537,492,532,494,529,555,509,558,526,609
,女　Ｆ．,3210,297,250,261,261,265,254,267,276,266,290,256,267
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,3107,236,231,280,215,261,267,275,267,279,257,248,291
,男　Ｍ．,1736,124,129,155,120,160,139,157,130,148,165,136,173
,女　Ｆ．,1371,112,102,125,95,101,128,118,137,131,92,112,118
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14231,1220,1161,1228,1124,1169,1063,1161,1159,1221,1250,1232,1243
