令和５年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1576016,167666,134647,132109,122546,120200,112337,120373,129485,126039,132516,132402,145696
,男　Ｍ．,802536,85173,68239,67182,62469,61153,57154,61978,66611,64599,67288,66716,73974
,女　Ｆ．,773480,82493,66408,64927,60077,59047,55183,58395,62874,61440,65228,65686,71722
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24237,2353,2031,2047,1906,1796,1723,1865,2031,2021,2118,2057,2289
,男　Ｍ．,11910,1144,1017,997,914,883,818,929,1035,1003,1039,1005,1126
,女　Ｆ．,12327,1209,1014,1050,992,913,905,936,996,1018,1079,1052,1163
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2137,207,195,190,175,165,144,149,171,152,194,169,226
,男　Ｍ．,979,101,96,77,78,78,57,76,69,72,92,76,107
,女　Ｆ．,1158,106,99,113,97,87,87,73,102,80,102,93,119
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1587,138,146,116,136,127,109,127,136,139,142,133,138
,男　Ｍ．,932,80,97,59,75,71,59,82,89,72,90,71,87
,女　Ｆ．,655,58,49,57,61,56,50,45,47,67,52,62,51
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1344,115,128,96,120,102,94,116,113,114,126,104,116
,男　Ｍ．,835,68,89,54,68,63,54,78,78,64,84,58,77
,女　Ｆ．,509,47,39,42,52,39,40,38,35,50,42,46,39
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,243,23,18,20,16,25,15,11,23,25,16,29,22
,男　Ｍ．,97,12,8,5,7,8,5,4,11,8,6,13,10
,女　Ｆ．,146,11,10,15,9,17,10,7,12,17,10,16,12
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11619,1193,979,1011,913,856,836,863,965,984,991,944,1084
,男　Ｍ．,5778,587,472,512,441,419,423,434,505,507,489,469,520
,女　Ｆ．,5841,606,507,499,472,437,413,429,460,477,502,475,564
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1645,161,126,170,151,148,115,114,134,107,126,141,152
,男　Ｍ．,776,80,56,83,77,64,56,56,60,38,60,69,77
,女　Ｆ．,869,81,70,87,74,84,59,58,74,69,66,72,75
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,350,36,29,38,34,27,25,17,29,24,25,33,33
,男　Ｍ．,203,20,16,27,25,16,14,10,17,9,16,15,18
,女　Ｆ．,147,16,13,11,9,11,11,7,12,15,9,18,15
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1102,112,93,113,101,95,81,79,87,70,84,89,98
,男　Ｍ．,479,52,39,43,48,37,39,41,35,22,35,43,45
,女　Ｆ．,623,60,54,70,53,58,42,38,52,48,49,46,53
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,193,13,4,19,16,26,9,18,18,13,17,19,21
,男　Ｍ．,94,8,1,13,4,11,3,5,8,7,9,11,14
,女　Ｆ．,99,5,3,6,12,15,6,13,10,6,8,8,7
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,62,7,8,4,3,7,4,2,2,7,7,4,7
,男　Ｍ．,59,7,8,2,3,7,4,2,2,7,6,4,7
,女　Ｆ．,3,-,-,2,-,-,-,-,-,-,1,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,7187,647,577,556,528,493,515,610,623,632,658,666,682
,男　Ｍ．,3386,289,288,264,240,244,219,279,310,307,302,316,328
,女　Ｆ．,3801,358,289,292,288,249,296,331,313,325,356,350,354
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,396204,34309,30439,32809,32227,32794,31840,33257,33693,32908,34551,33185,34192
,男　Ｍ．,228673,19918,17603,19141,18662,18782,18264,19124,19352,18961,19937,19113,19816
,女　Ｆ．,167531,14391,12836,13668,13565,14012,13576,14133,14341,13947,14614,14072,14376
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,382504,33037,29406,31700,31128,31657,30805,32143,32534,31742,33297,32026,33029
,男　Ｍ．,221360,19239,17094,18552,18060,18219,17722,18510,18710,18318,19240,18498,19198
,女　Ｆ．,161144,13798,12312,13148,13068,13438,13083,13633,13824,13424,14057,13528,13831
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,8587,766,694,634,671,708,697,720,723,738,805,719,712
,男　Ｍ．,6136,540,508,451,487,501,482,506,492,537,572,525,535
,女　Ｆ．,2451,226,186,183,184,207,215,214,231,201,233,194,177
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,10750,953,831,927,855,887,845,927,873,874,948,926,904
,男　Ｍ．,8647,771,661,771,679,700,690,735,704,696,757,747,736
,女　Ｆ．,2103,182,170,156,176,187,155,192,169,178,191,179,168
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,38771,3395,3078,3251,3100,3158,3175,3328,3281,3207,3322,3212,3264
,男　Ｍ．,25325,2263,1985,2176,2038,2034,2043,2168,2112,2094,2199,2105,2108
,女　Ｆ．,13446,1132,1093,1075,1062,1124,1132,1160,1169,1113,1123,1107,1156
02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,37394,3100,2774,3058,2984,3164,3046,3093,3188,3134,3370,3216,3267
,男　Ｍ．,18146,1550,1351,1517,1462,1521,1492,1504,1514,1482,1619,1559,1575
,女　Ｆ．,19248,1550,1423,1541,1522,1643,1554,1589,1674,1652,1751,1657,1692
02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,総数,15737,1407,1205,1289,1312,1268,1313,1279,1370,1265,1350,1318,1361
,男　Ｍ．,9790,869,751,802,820,788,830,807,852,776,820,823,852
,女　Ｆ．,5947,538,454,487,492,480,483,472,518,489,530,495,509
02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,22908,2041,1808,1948,1875,1888,1838,1876,1956,1869,1996,1860,1953
,男　Ｍ．,15226,1325,1206,1303,1210,1277,1207,1228,1309,1250,1356,1215,1340
,女　Ｆ．,7682,716,602,645,665,611,631,648,647,619,640,645,613
02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,総数,17239,1563,1348,1424,1442,1439,1422,1417,1402,1470,1445,1425,1442
,男　Ｍ．,9220,841,696,778,766,789,753,754,718,794,779,782,770
,女　Ｆ．,8019,722,652,646,676,650,669,663,684,676,666,643,672
02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,40175,3381,3141,3349,3222,3264,3218,3421,3522,3368,3536,3325,3428
,男　Ｍ．,19859,1619,1619,1668,1567,1630,1599,1684,1757,1661,1731,1604,1720
,女　Ｆ．,20316,1762,1522,1681,1655,1634,1619,1737,1765,1707,1805,1721,1708
02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,791,90,65,70,71,57,60,56,65,64,65,55,73
,男　Ｍ．,717,79,65,63,64,53,53,53,62,54,59,48,64
,女　Ｆ．,74,11,-,7,7,4,7,3,3,10,6,7,9
02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,75762,6566,5767,6331,6267,6264,6096,6460,6446,6168,6476,6245,6676
,男　Ｍ．,52908,4624,4031,4455,4423,4362,4235,4475,4486,4296,4532,4327,4662
,女　Ｆ．,22854,1942,1736,1876,1844,1902,1861,1985,1960,1872,1944,1918,2014
02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1861,135,153,164,160,151,132,171,167,154,145,161,168
,男　Ｍ．,945,74,70,78,75,85,75,84,98,74,74,78,80
,女　Ｆ．,916,61,83,86,85,66,57,87,69,80,71,83,88
02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,15763,1406,1212,1309,1276,1369,1242,1282,1377,1215,1401,1295,1379
,男　Ｍ．,134,13,5,16,6,12,8,16,15,9,13,10,11
,女　Ｆ．,15629,1393,1207,1293,1270,1357,1234,1266,1362,1206,1388,1285,1368
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,7137,578,546,597,589,610,587,616,561,601,629,618,605
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,7137,578,546,597,589,610,587,616,561,601,629,618,605
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,5154,437,355,403,454,421,423,460,417,440,476,421,447
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,5154,437,355,403,454,421,423,460,417,440,476,421,447
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,13429,1193,1056,1126,1085,1078,977,1110,1159,1142,1171,1154,1178
,男　Ｍ．,13429,1193,1056,1126,1085,1078,977,1110,1159,1142,1171,1154,1178
,女　Ｆ．,・,・,・,・,・,・,・,・,・,・,・,・,・
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,9591,822,722,808,800,817,778,797,821,804,849,806,767
,男　Ｍ．,6515,561,513,547,562,540,527,542,579,513,571,545,515
,女　Ｆ．,3076,261,209,261,238,277,251,255,242,291,278,261,252
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,3178,262,244,290,258,252,228,265,253,256,284,296,290
,男　Ｍ．,1825,149,127,170,150,151,124,162,149,147,164,166,166
,女　Ｆ．,1353,113,117,120,108,101,104,103,104,109,120,130,124
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14434,1172,1111,1140,1175,1245,1141,1145,1226,1255,1327,1246,1251
,男　Ｍ．,8089,663,635,629,627,710,633,625,648,745,752,712,710
,女　Ｆ．,6345,509,476,511,548,535,508,520,578,510,575,534,541
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9869,846,712,818,787,834,827,824,870,871,799,837,844
,男　Ｍ．,6095,508,442,494,518,497,501,521,531,543,509,518,513
,女　Ｆ．,3774,338,270,324,269,337,326,303,339,328,290,319,331
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,4322,386,336,349,345,343,347,386,369,347,342,391,381
,男　Ｍ．,2177,208,179,185,164,169,173,183,184,166,174,200,192
,女　Ｆ．,2145,178,157,164,181,174,174,203,185,181,168,191,189
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,29652,2538,2248,2415,2400,2440,2413,2510,2488,2500,2561,2500,2639
,男　Ｍ．,16177,1389,1194,1323,1357,1322,1320,1353,1341,1339,1388,1380,1471
,女　Ｆ．,13475,1149,1054,1092,1043,1118,1093,1157,1147,1161,1173,1120,1168
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,13700,1272,1033,1109,1099,1137,1035,1114,1159,1166,1254,1159,1163
,男　Ｍ．,7313,679,509,589,602,563,542,614,642,643,697,615,618
,女　Ｆ．,6387,593,524,520,497,574,493,500,517,523,557,544,545
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,2559,234,210,209,196,211,197,207,228,211,247,201,208
,男　Ｍ．,1185,105,92,107,97,76,87,108,107,93,124,99,90
,女　Ｆ．,1374,129,118,102,99,135,110,99,121,118,123,102,118
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,11141,1038,823,900,903,926,838,907,931,955,1007,958,955
,男　Ｍ．,6128,574,417,482,505,487,455,506,535,550,573,516,528
,女　Ｆ．,5013,464,406,418,398,439,383,401,396,405,434,442,427
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4978,500,420,451,383,368,364,383,398,393,469,421,428
,男　Ｍ．,2246,233,194,205,170,160,179,175,165,164,223,161,217
,女　Ｆ．,2732,267,226,246,213,208,185,208,233,229,246,260,211
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2579,251,224,228,194,185,180,205,214,201,240,230,227
,男　Ｍ．,1059,106,95,91,83,75,77,76,73,83,104,86,110
,女　Ｆ．,1520,145,129,137,111,110,103,129,141,118,136,144,117
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2399,249,196,223,189,183,184,178,184,192,229,191,201
,男　Ｍ．,1187,127,99,114,87,85,102,99,92,81,119,75,107
,女　Ｆ．,1212,122,97,109,102,98,82,79,92,111,110,116,94
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,25875,2853,2301,2279,2054,1978,1707,1981,2071,2018,2051,2134,2448
,男　Ｍ．,13751,1551,1209,1218,1084,1041,893,1077,1102,1081,1081,1098,1316
,女　Ｆ．,12124,1302,1092,1061,970,937,814,904,969,937,970,1036,1132
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,15448,1742,1438,1393,1245,1203,1049,1142,1188,1155,1237,1218,1438
,男　Ｍ．,8699,1017,805,773,664,663,584,674,683,647,687,664,838
,女　Ｆ．,6749,725,633,620,581,540,465,468,505,508,550,554,600
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,10427,1111,863,886,809,775,658,839,883,863,814,916,1010
,男　Ｍ．,5052,534,404,445,420,378,309,403,419,434,394,434,478
,女　Ｆ．,5375,577,459,441,389,397,349,436,464,429,420,482,532
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,26867,2799,2228,2174,2137,2007,1917,1915,2137,2253,2367,2414,2519
,男　Ｍ．,10411,1042,848,852,833,763,755,743,862,882,910,964,957
,女　Ｆ．,16456,1757,1380,1322,1304,1244,1162,1172,1275,1371,1457,1450,1562
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,23825,2492,1981,1912,1894,1813,1701,1668,1902,1984,2104,2158,2216
,男　Ｍ．,8829,881,702,724,707,672,656,605,740,745,772,821,804
,女　Ｆ．,14996,1611,1279,1188,1187,1141,1045,1063,1162,1239,1332,1337,1412
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,3042,307,247,262,243,194,216,247,235,269,263,256,303
,男　Ｍ．,1582,161,146,128,126,91,99,138,122,137,138,143,153
