令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
　　 　総　　　数　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1605378,155418,139313,143967,125352,123557,116671,127453,132438,124291,127906,131871,157141
,男　Ｍ．,819709,79948,71179,73362,63733,62569,59472,65820,68388,63416,64827,66806,80189
,女　Ｆ．,785669,75470,68134,70605,61619,60988,57199,61633,64050,60875,63079,65065,76952
01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,24547,2435,2145,2222,1894,1975,1844,1805,1922,1940,1994,2033,2338
,男　Ｍ．,12340,1237,1047,1082,935,1013,876,913,955,983,1049,1048,1202
,女　Ｆ．,12207,1198,1098,1140,959,962,968,892,967,957,945,985,1136
01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2284,271,240,237,163,191,151,138,161,177,172,192,191
,男　Ｍ．,1012,121,101,103,71,85,62,61,84,78,82,85,79
,女　Ｆ．,1272,150,139,134,92,106,89,77,77,99,90,107,112
01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1462,138,112,123,110,112,126,121,122,103,125,147,123
,男　Ｍ．,846,80,63,73,65,67,72,64,67,61,77,84,73
,女　Ｆ．,616,58,49,50,45,45,54,57,55,42,48,63,50
01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1247,116,99,109,87,94,104,107,96,94,109,118,114
,男　Ｍ．,758,71,59,71,51,61,65,61,54,57,69,73,66
,女　Ｆ．,489,45,40,38,36,33,39,46,42,37,40,45,48
01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,215,22,13,14,23,18,22,14,26,9,16,29,9
,男　Ｍ．,88,9,4,2,14,6,7,3,13,4,8,11,7
,女　Ｆ．,127,13,9,12,9,12,15,11,13,5,8,18,2
01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11714,1164,1014,1104,924,946,844,833,893,920,969,940,1163
,男　Ｍ．,6072,624,502,541,471,511,406,438,460,480,514,510,615
,女　Ｆ．,5642,540,512,563,453,435,438,395,433,440,455,430,548
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1448,166,128,137,112,136,126,105,104,106,93,102,133
,男　Ｍ．,688,80,58,59,46,72,61,54,41,51,49,52,65
,女　Ｆ．,760,86,70,78,66,64,65,51,63,55,44,50,68
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,317,36,28,34,24,24,30,21,18,21,20,25,36
,男　Ｍ．,172,19,13,15,13,16,19,17,7,7,14,14,18
,女　Ｆ．,145,17,15,19,11,8,11,4,11,14,6,11,18
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,948,112,81,83,72,96,77,71,73,70,65,69,79
,男　Ｍ．,414,49,36,36,27,48,29,29,28,35,31,31,35
,女　Ｆ．,534,63,45,47,45,48,48,42,45,35,34,38,44
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,183,18,19,20,16,16,19,13,13,15,8,8,18
,男　Ｍ．,102,12,9,8,6,8,13,8,6,9,4,7,12
,女　Ｆ．,81,6,10,12,10,8,6,5,7,6,4,1,6
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,55,6,5,6,3,7,4,4,8,4,3,2,3
,男　Ｍ．,50,6,5,6,3,6,4,3,7,3,2,2,3
,女　Ｆ．,5,-,-,-,-,1,-,1,1,1,1,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,7584,690,646,615,582,583,593,604,634,630,632,650,725
,男　Ｍ．,3672,326,318,300,279,272,271,293,296,310,325,315,367
,女　Ｆ．,3912,364,328,315,303,311,322,311,338,320,307,335,358
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,398020,34051,31717,33861,31875,32791,31943,33278,33666,32840,34030,32994,34974
,男　Ｍ．,229406,19766,18222,19511,18358,18895,18398,19156,19453,18952,19699,19138,19858
,女　Ｆ．,168614,14285,13495,14350,13517,13896,13545,14122,14213,13888,14331,13856,15116
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,384111,32819,30583,32711,30759,31722,30888,32133,32509,31723,32775,31795,33694
,男　Ｍ．,221786,19087,17624,18891,17753,18294,17834,18544,18806,18303,19024,18465,19161
,女　Ｆ．,162325,13732,12959,13820,13006,13428,13054,13589,13703,13420,13751,13330,14533
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,8580,755,679,743,716,723,642,683,682,688,718,724,827
,男　Ｍ．,6085,535,484,527,516,490,462,486,485,484,520,522,574
,女　Ｆ．,2495,220,195,216,200,233,180,197,197,204,198,202,253
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,10638,924,822,869,833,904,835,872,946,869,911,936,917
,男　Ｍ．,8572,745,664,713,679,729,658,703,748,690,730,762,751
,女　Ｆ．,2066,179,158,156,154,175,177,169,198,179,181,174,166
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,37867,3308,3004,3310,2982,3127,3133,3131,3154,3087,3242,3127,3262
,男　Ｍ．,24720,2163,1974,2138,1943,2062,2022,2068,2051,2024,2163,2039,2073
