year,month,age_group,sex,total_suicides,cause_total,family,health,economic,work,relationship,school,other,unknown
2009,1,all,total,2709,2024,326,1139,572,191,102,35,139,685
2009,1,under_20,total,45,37,5,9,2,2,4,17,6,8
2009,1,20-29,total,304,228,23,121,42,32,36,17,19,76
2009,1,30-39,total,405,321,58,174,83,45,30,1,16,84
2009,1,40-49,total,420,316,67,147,125,45,17,0,17,104
2009,1,50-59,total,567,424,54,198,188,54,8,0,24,143
2009,1,60-69,total,484,359,53,224,104,11,3,0,23,125
2009,1,70-79,total,277,211,39,166,26,2,3,0,18,66
2009,1,80_over,total,185,128,27,100,2,0,1,0,16,57
2009,2,all,total,2465,1807,287,994,569,154,90,30,110,658
2009,2,under_20,total,34,28,7,8,1,1,2,14,3,6
2009,2,20-29,total,263,202,28,103,42,23,31,15,19,61
2009,2,30-39,total,375,280,36,141,86,45,28,1,18,95
2009,2,40-49,total,381,265,45,127,109,33,12,0,10,116
2009,2,50-59,total,521,370,52,167,175,33,11,0,21,151
2009,2,60-69,total,475,363,63,214,130,18,4,0,21,112
2009,2,70-79,total,255,194,34,150,21,1,2,0,12,61
2009,2,80_over,total,147,104,22,84,4,0,0,0,6,43
2009,3,all,total,3108,2332,383,1252,728,240,100,41,150,776
2009,3,under_20,total,45,35,6,10,2,0,5,14,5,10
2009,3,20-29,total,363,267,34,122,57,44,40,27,20,96
2009,3,30-39,total,486,381,67,187,104,65,30,0,23,105
2009,3,40-49,total,510,390,67,188,156,66,13,0,14,120
2009,3,50-59,total,617,477,69,229,230,47,9,0,26,140
2009,3,60-69,total,560,410,68,238,142,13,3,0,25,150
2009,3,70-79,total,306,223,39,164,31,5,0,0,19,83
2009,3,80_over,total,196,148,33,114,6,0,0,0,17,48
2009,4,all,total,3026,2225,332,1310,622,216,96,28,149,801
2009,4,under_20,total,72,52,7,23,1,4,8,9,6,20
2009,4,20-29,total,310,227,24,111,39,41,31,18,19,83
2009,4,30-39,total,417,317,48,176,75,47,32,1,21,100
2009,4,40-49,total,510,374,63,182,160,43,11,0,22,136
2009,4,50-59,total,610,455,69,225,195,63,6,0,25,155
2009,4,60-69,total,536,387,61,242,122,16,6,0,29,149
2009,4,70-79,total,332,241,32,200,25,2,2,0,16,91
2009,4,80_over,total,224,172,28,151,5,0,0,0,11,52
2009,5,all,total,2952,2173,299,1286,604,199,86,21,129,779
2009,5,under_20,total,42,33,4,16,0,5,8,9,3,9
2009,5,20-29,total,303,222,27,117,28,43,28,11,15,81
2009,5,30-39,total,434,325,40,182,88,44,26,0,18,109
2009,5,40-49,total,461,336,54,166,136,38,14,1,17,125
2009,5,50-59,total,595,438,57,211,200,43,5,0,20,157
2009,5,60-69,total,555,416,55,265,127,24,3,0,22,139
2009,5,70-79,total,339,253,38,204,23,1,1,0,16,86
2009,5,80_over,total,210,150,24,125,2,1,1,0,18,60
2009,6,all,total,2819,2123,350,1302,572,176,82,20,125,696
2009,6,under_20,total,47,28,4,13,1,1,7,6,3,19
2009,6,20-29,total,260,194,27,109,28,31,17,14,9,66
2009,6,30-39,total,404,312,57,167,88,34,34,0,19,92
2009,6,40-49,total,432,325,54,182,109,47,16,0,14,107
2009,6,50-59,total,561,416,58,200,198,45,5,0,22,145
2009,6,60-69,total,511,389,61,250,117,17,2,0,23,122
2009,6,70-79,total,353,282,57,233,24,1,0,0,14,71
2009,6,80_over,total,235,176,32,148,7,0,1,0,20,59
2009,7,all,total,2782,2088,321,1275,578,196,83,30,128,694
2009,7,under_20,total,57,40,7,19,3,0,3,14,6,17
2009,7,20-29,total,312,233,26,129,38,41,33,13,18,79
2009,7,30-39,total,372,294,56,154,83,39,25,2,23,78
2009,7,40-49,total,444,327,61,173,125,53,12,0,13,117
2009,7,50-59,total,502,379,47,193,166,52,4,0,18,123
2009,7,60-69,total,513,383,53,248,128,11,3,0,16,130
2009,7,70-79,total,355,276,44,223,33,0,2,1,18,79
2009,7,80_over,total,210,156,27,136,2,0,1,0,16,54
2009,8,all,total,2525,1854,283,1145,480,155,89,29,132,671
2009,8,under_20,total,56,39,13,9,2,1,6,16,5,17
2009,8,20-29,total,267,199,23,96,30,35,32,13,23,68
2009,8,30-39,total,358,269,42,159,68,35,26,0,19,89
2009,8,40-49,total,375,291,50,147,107,39,16,0,20,84
2009,8,50-59,total,509,372,53,214,151,27,8,0,20,137
2009,8,60-69,total,428,300,45,196,97,15,0,0,16,128
2009,8,70-79,total,296,218,29,187,17,3,0,0,13,78
2009,8,80_over,total,224,165,28,136,8,0,1,0,16,59
2009,9,all,total,2523,1901,293,1206,482,174,90,23,123,622
2009,9,under_20,total,36,25,4,11,1,2,2,9,3,11
2009,9,20-29,total,261,179,18,91,37,30,27,14,9,82
2009,9,30-39,total,394,305,39,179,72,54,33,0,20,89
2009,9,40-49,total,411,314,55,179,109,34,16,0,17,97
2009,9,50-59,total,433,332,41,182,136,33,8,0,17,101
2009,9,60-69,total,472,358,57,247,99,19,3,0,19,114
2009,9,70-79,total,286,218,37,179,22,1,1,0,15,68
2009,9,80_over,total,216,168,42,138,4,1,0,0,22,48
2009,10,all,total,2780,2093,312,1293,581,205,74,30,133,687
2009,10,under_20,total,47,33,4,20,2,0,0,11,4,14
2009,10,20-29,total,289,227,30,119,39,38,36,19,12,62
2009,10,30-39,total,378,293,39,171,87,60,21,0,17,85
2009,10,40-49,total,445,339,46,189,127,52,4,0,16,106
2009,10,50-59,total,535,410,59,210,188,41,10,0,15,125
2009,10,60-69,total,505,384,51,255,110,14,2,0,27,121
2009,10,70-79,total,344,256,50,201,27,0,1,0,25,88
2009,10,80_over,total,212,151,33,128,1,0,0,0,17,61
