analysis,may_irr,ci_low,ci_high,p_value,n_observations
Full (2009-2024),1.2821,1.1921,1.3789,0.000000,192
Excl COVID (2009-2019 + 2024),1.2943,1.1991,1.3971,0.000000,144
Pre-COVID only (2009-2019),1.2844,1.2191,1.3531,0.000000,132
2009-2014 (post-crisis),1.2821,1.2032,1.3662,0.000000,72
2015-2019 (pre-COVID),1.2875,1.2148,1.3645,0.000000,60
2020-2024 (COVID+post),1.2736,1.1648,1.3926,0.000000,60
20-29: Work,1.5133,1.3137,1.7433,0.000000,192
20-29: School,1.1325,0.9078,1.4127,0.270098,192
20-29: Health,1.1777,1.0119,1.3706,0.034570,192
20-29: Economic,1.2088,1.0144,1.4403,0.033991,192
20-29: Relationship,1.1024,0.9154,1.3277,0.303916,192
20-29: Family,1.1904,0.9935,1.4263,0.058807,192
